CITY,STATE
Aitos,Burgas
Aksakovo,Varna
Alfatar,Silistra
Antonovo,Targovishte
Ardino,Kardzhali
Asenovgrad,Plovdiv
Aytos,Burgas
BLAGOEVGRAD,Blagoevgrad
BURGAS,Burgas
BYALA,Varna
Balchik,Dobrich
Banite,Smolyan
Bankia,Sofia
Bankya,Sofia
Bansko,Blagoevgrad
Batak,Pazardzhik
Batanovtsi,Pernik
Belene,Pleven
Belitsa,Blagoevgrad
Belogradchik,Vidin
Beloslav,Varna
Belovo,Pazardzhik
Berkovitsa,Montana
Berkovitza,Montana
Blagoevgrad,Blagoevgrad
Boboshevo,Kyustendil
Bobov Dol,Kyustendil
Borino,Smolyan
Borovo,Ruse
Botevgrad,Sofia
Boychinovtsi,Montana
Boynitsa,Vidin
Bozhurishte,Sofia
Bratsigovo,Plovdiv
Bregovo,Vidin
Breznik,Pernik
Brezovo,Plovdiv
Brusartsi,Montana
Burgas,Burgas
Byala,Ruse
Byala Slatina,Vratsa
Byla,Varna
Chepelare,Smolyan
Chernoochene,Kardzhali
Cherven Bryag,Pleven
Chiprovtsi,Montana
Chirpan,Stara Zagora
Chomakovci,Sofia
DOBRICH,Dobrich
Dalgopol,Varna
Devin,Smolyan
Devnya,Varna
Dimitrovgrad,Haskovo
Dimovo,Vidin
Dobrich,Dobrich
Dolna Mitropolia,Pleven
Dolna Oriahovica,Veliko Tarnovo
Dolni Dabnik,Pleven
Dolni Lozen,Sofia
Dospat,Smolyan
Dryanovo,Gabrovo
Dulovo,Silistra
Dupnitsa,Kyustendil
Dve Mogili,Ruse
Dzhebel,Kardzhali
Elena,Veliko Tarnovo
Elhovo,Yambol
Elin Pelin,Sofia
Etropole,Sofia
GABROVO,Gabrovo
Gabarevo,Stara Zagora
Gabrovo,Gabrovo
Galabovo,Stara Zagora
General Toshevo,Dobrich
Georgi Damyanovo,Montana
Glavinitsa,Silistra
Godech,Sofia
Gorna Malina,Sofia
Gorna Oriahovica,Veliko Tarnovo
