CITY,STATE
Aach,Baden-Württemberg
Aachen,Nordrhein-Westfalen
Aalen,Baden-Württemberg
Aarbergen,Hessen
Abenberg,Bayern
Abensberg,Bayern
Absberg,Bayern
Abstatt,Baden-Württemberg
Abtsgmuend,Baden-Württemberg
Abtsgmünd,Baden-Württemberg
Abtsteinach,Hessen
Achberg,Baden-Württemberg
Achern,Baden-Württemberg
Achern (Abweichung Exklaven),Baden-Württemberg
Achim,Niedersachsen
Achslach,Bayern
Achstetten,Baden-Württemberg
Achterwehr,Schleswig-Holstein
Adelberg,Baden-Württemberg
Adelebsen,Niedersachsen
Adelheidsdorf,Niedersachsen
Adelmannsfelden,Baden-Württemberg
Adelschlag,Bayern
Adelsdorf,Bayern
Adelsheim,Baden-Württemberg
Adelshofen,Bayern
Adelsried,Bayern
Adelzhausen,Bayern
Adenau,Rheinland-Pfalz
Adenbuettel,Niedersachsen
Adenbüttel,Niedersachsen
Adendorf,Niedersachsen
Adlkofen,Bayern
Admannshagen-Bargeshagen u.a.,Mecklenburg-Vorpommern
Adorf,Sachsen
Aerzen,Niedersachsen
Affalterbach,Baden-Württemberg
Affing,Bayern
Affinghausen und Sudwalde,Niedersachsen
Aglasterhausen,Baden-Württemberg
Aham,Bayern
Ahaus,Nordrhein-Westfalen
Ahlen,Nordrhein-Westfalen
Ahlerstedt,Niedersachsen
Ahnatal,Hessen
Ahnsbeck,Niedersachsen
Ahnsen,Niedersachsen
Aholfing,Bayern
Aholming,Bayern
Ahorn,Baden-Württemberg
Ahorntal,Bayern
Ahrbrück,Rheinland-Pfalz
Ahrbrueck,Rheinland-Pfalz
Ahrensboek,Schleswig-Holstein
Ahrensbök,Schleswig-Holstein
Ahrensburg,Schleswig-Holstein
Ahrenshagen-Daskow,Mecklenburg-Vorpommern
Ahrenshoeft,Schleswig-Holstein
Ahrenshöft,Schleswig-Holstein
Ahrenvioelfeld,Schleswig-Holstein
Ahrenviölfeld,Schleswig-Holstein
Aicha vorm Wald,Bayern
Aichach,Bayern
Aichelberg,Baden-Württemberg
Aichen,Bayern
Aichhalden,Baden-Württemberg
Aichstetten,Baden-Württemberg
Aichtal,Baden-Württemberg
Aichwald,Baden-Württemberg
Aidhausen,Bayern
Aidlingen,Baden-Württemberg
Aiglsbach,Bayern
Aindling,Bayern
Ainring,Bayern
Aislingen,Bayern
Aiterhofen,Bayern
Aitrach,Baden-Württemberg
Aitrang,Bayern
Aken (Elbe),Sachsen-Anhalt
Albaching,Bayern
Albbruck,Baden-Württemberg
Albersdorf,Schleswig-Holstein
Albershausen,Baden-Württemberg
Albersweiler,Rheinland-Pfalz
Albertshofen,Bayern
Albig,Rheinland-Pfalz
Albisheim (Pfrimm),Rheinland-Pfalz
Albstadt,Baden-Württemberg
Aldenhoven,Nordrhein-Westfalen
Aldersbach,Bayern
Aldingen,Baden-Württemberg
Alerheim,Bayern
Alesheim,Bayern
Aletshausen,Bayern
Alf,Rheinland-Pfalz
Alfdorf,Baden-Württemberg
Alfeld,Bayern
Alfeld (Leine),Niedersachsen
Alfhausen,Niedersachsen
Alflen,Rheinland-Pfalz
Alfter,Nordrhein-Westfalen
Algermissen,Niedersachsen
Alheim,Hessen
Allendorf,Hessen
Allensbach,Baden-Württemberg
Allersberg,Bayern
Allershausen,Bayern
Alling,Bayern
Allmannsweiler,Baden-Württemberg
Allmendingen,Baden-Württemberg
Allmersbach im Tal,Baden-Württemberg
Allstedt,Sachsen-Anhalt
Alpen,Nordrhein-Westfalen
Alpenrod,Rheinland-Pfalz
Alpirsbach,Baden-Württemberg
Alsbach-Haehnlein,Hessen
