CITY,STATE
’t Klooster,Drenthe
‘t Nieuwe Diep,Drenthe
“ 't Loo Oldebroek”,Gelderland
“Afferden L.”,Limburg
“Alteveer gem Hoogeveen”,Drenthe
“Beers NB”,Noord-Brabant
“Bergen (NH)”,Noord-Holland
“Bergen L”,Limburg
“Beuningen Gld”,Gelderland
“Bleskensgraaf ca”,Zuid-Holland
“Botlek Rotterdam”,Zuid-Holland
“de Lutte”,Overijssel
“de Woude”,Noord-Holland
“Driehuis NH”,Noord-Holland
“Elst Ut”,Utrecht
“Europoort Rotterdam”,Zuid-Holland
“Harkstede GN”,Groningen
“Hengelo (Gld)”,Gelderland
“Hoogvliet Rotterdam”,Zuid-Holland
“Kapel Avezaath”,Gelderland
“Katwijk NB”,Noord-Brabant
“Kerk Avezaath”,Gelderland
“Lageland GN”,Groningen
“Loo Gld”,Gelderland
“Maasvlakte Rotterdam”,Zuid-Holland
“Nieuw Namen”,Zeeland
“Nieuwe Niedorp”,Noord-Holland
“Nieuwlande Coevorden”,Drenthe
“Noordeinde Gld”,Gelderland
“Oud Zuilen”,Utrecht
“Oude Niedorp”,Noord-Holland
“Pernis Rotterdam”,Zuid-Holland
“Rijswijk (GLD)”,Gelderland
“Rijswijk (NB)”,Noord-Brabant
“Rotterdam-Albrandswaard”,Zuid-Holland
“Spaarndam gem. Haarlem”,Noord-Holland
“Spijk Gn”,Groningen
“Ursem gem. S”,Noord-Holland
“Vianen NB”,Noord-Brabant
“Vondelingenplaat Rotterdam”,Zuid-Holland
“Well L”,Limburg
“Wirdum Gn”,Groningen
's Gravenmoer,Noord-Brabant
's Grevelduin-Capelle,Noord-Brabant
's-Graveland,Noord-Holland
's-Gravendeel,Zuid-Holland
's-Gravenhage,Zuid-Holland
's-Gravenmoerse Vaart,Noord-Brabant
's-Gravenpolder,Zeeland
's-Gravenweg,Zuid-Holland
's-Gravenzande,Zuid-Holland
's-Heer Abtskerke,Zeeland
's-Heer Arendskerke,Zeeland
's-Heer Hendrikskinderen,Zeeland
's-Heerenberg,Gelderland
's-Heerenbroek,Overijssel
's-Heerenhoek,Zeeland
's-Hertogenbosch,Noord-Brabant
's-Molenaarsbuurt,Zuid-Holland
't Bergje,Overijssel
't Buurtje,Noord-Holland
't Coll,Noord-Brabant
't Eind,Noord-Brabant
't Goy,Utrecht
't Haantje,Drenthe
't Harde,Gelderland
't Hazeleger,Gelderland
't Heechhout,Friesland
't Heem,Groningen
't Heeske,Limburg
't Herselt,Noord-Brabant
't Hoekje,Zeeland
't Hoekske,Noord-Brabant
't Hof,Noord-Brabant
't Hof (?),Gelderland
't Horntje,Noord-Holland
't Jagertje,Zeeland
't Kabel,Noord-Holland
't Kip,Gelderland
't Klooster,Gelderland
't Kret,Groningen
't Kruis,Noord-Holland
't Laar,Gelderland
't Lage van de Weg,Groningen
't Leuken,Limburg
't Loo,Overijssel
't Malijk,Groningen
't Marktje,Noord-Brabant
't Noorden,Drenthe
't Noorn,Groningen
't Nopeind,Noord-Holland
't Oever,Gelderland
't Rijpje,Noord-Holland
't Rolder,Gelderland
't Rooth,Limburg
't Schot,Groningen
't Stort,Groningen
't Veld,Noord-Holland
't Villeken,Gelderland
't Vlaandertje,Zeeland
't Vlot,Gelderland
't Vosseneind,Gelderland
't Waar,Groningen
't Wad,Noord-Holland
't Westeinde,Noord-Holland
't Wildeveld,Groningen
't Winkel,Noord-Brabant
't Woud,Gelderland
't Woudt,Zuid-Holland
't Wytfean,Friesland
't Zand,Noord-Brabant
't Zand dorp in de gemeente Schagen),Noord-Holland
't Zandstervoorwerk,Groningen
't Zandt,Groningen
(De ?) Vleut,Noord-Brabant
(De) Dingen,Groningen
(De) Haspel,Groningen
(De) Langstraat (?),Zuid-Holland
(De) Laren (?),Noord-Brabant
(De) Schifpot,Groningen
(De) Val (?),Zeeland
(De) Wippert,Gelderland
(De) Wippert (?),Gelderland
